,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10943,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19665712.0,19665712.0,False,,1,,,,2024-03-27T13:41:00.000Z,70475.33369582533,35725873477.81333,-20.3649,0.62772355,0.48128691,11.03193186,37.1880647,68.80723937,64.67340642,1385947615565.9966,51.6335,1479982007612.33,,2024-03-27T13:41:00.000Z,,,,,,2024-03-27 16:42:00.807725
1,1027,Ethereum,ETH,ethereum,8658,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120073215.06618808,120073215.06618808,True,,2,,,,2024-03-27T13:40:00.000Z,3605.612341959018,16938358609.702147,-20.1912,0.90796295,-0.0246808,7.65697984,17.37388821,59.1770691,50.39031862,432937466181.3473,16.1291,432937466181.35,,2024-03-27T13:40:00.000Z,,,,,,2024-03-27 16:42:00.807725
2,825,Tether USDt,USDT,tether,80375,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,104362092743.91322,107792615137.11449,True,,3,,,,2024-03-27T13:40:00.000Z,0.9997564013511627,77487752835.64671,-10.9586,-0.00917104,-0.03210136,-0.01913401,-0.03158489,-0.01451942,-0.06410133,104336670279.13098,3.8871,107766357001.71,,2024-03-27T13:40:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-03-27 16:42:00.807725
3,1839,BNB,BNB,bnb,2124,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149536620.39165115,149536620.39165115,False,,4,,,,2024-03-27T13:40:00.000Z,580.5733312542732,2087713347.300066,-2.9216,0.64367348,-0.91636431,9.43515677,47.40182781,91.32989796,72.78233677,86816973845.28659,3.2344,86816973845.29,,2024-03-27T13:40:00.000Z,,,,,,2024-03-27 16:42:00.807725
4,5426,Solana,SOL,solana,649,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,444306678.5286368,572748455.4786679,True,,5,,,,2024-03-27T13:40:00.000Z,189.60171752533984,3613120891.876919,-4.7134,1.58961108,-1.51055352,9.73925465,85.84411427,105.89790053,88.80632323,84241309357.00858,3.1449,108594090868.74,,2024-03-27T13:40:00.000Z,,,,,,2024-03-27 16:42:00.807725
5,52,XRP,XRP,xrp,1279,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54884241878.0,99987762348.0,False,,6,,,,2024-03-27T13:41:00.000Z,0.6251094187263164,1995368965.3843334,-9.8764,0.62592771,-1.81569069,4.89899292,17.04793168,18.00204543,-2.06986256,34308656537.591133,1.2846,62510941872.63,,2024-03-27T13:41:00.000Z,,,,,,2024-03-27 16:42:00.807725
6,3408,USDC,USDC,usd-coin,17672,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,32287299828.043236,32287299828.043236,False,,7,,,,2024-03-27T13:40:00.000Z,0.9999071822465793,9060885438.092566,3.8135,-0.00115161,-0.01270821,-0.04327541,-0.01659284,-0.02561888,-0.01884454,32284302993.409176,1.2028,32284302993.41,,2024-03-27T13:40:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-03-27 16:42:00.807725
7,74,Dogecoin,DOGE,dogecoin,939,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143639236383.70526,143639236383.70526,True,,8,,,,2024-03-27T13:41:00.000Z,0.1878352840972187,3221865697.271802,-1.1258,0.33933491,3.70315212,39.88234812,120.96880141,136.02385675,102.01952785,26980516773.64083,1.0052,26980516773.64,,2024-03-27T13:41:00.000Z,,,,,,2024-03-27 16:42:00.807725
8,2010,Cardano,ADA,cardano,1120,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35578756686.931,36742818378.514,False,,9,,,,2024-03-27T13:40:00.000Z,0.6577929483701557,600377583.1795326,-8.9022,0.43364169,-1.59695527,7.95412274,12.30811672,36.38123815,3.67624643,23403455260.440735,0.8763,29600682676.66,,2024-03-27T13:40:00.000Z,,,,,,2024-03-27 16:42:00.807725
9,5805,Avalanche,AVAX,avalanche,695,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,377416536.4228908,436106176.4228908,False,,10,,,,2024-03-27T13:40:00.000Z,54.88168171864353,942055230.4401408,6.8882,0.75821469,-4.67848479,2.86561158,47.91238582,69.350552,34.59502727,20713254227.313923,0.7755,39281493386.68,,2024-03-27T13:40:00.000Z,,,,,,2024-03-27 16:42:00.807725
